team_name,country_name,colours
SpVgg Greuther Fürth,Germany," #000000, #009932, #FFFFFF "
FC Augsburg,Germany," #000000, #BA3733, #FFD42E , #FFFFFF , #000000 , #46714D "
VfL Bochum,Germany," #005CA9, #FFFFFF "
1. FC Köln,Germany," #ED1C24, #000000, #FFFFFF "
Hertha BSC,Germany," #FFFFFF , #004D9E , #000000"
TSG 1899 Hoffenheim,Germany," #1961B5, #FFFFFF "
1. FSV Mainz 05,Germany," #C3141E , #FFFFFF , #918F90"
VfB Stuttgart,Germany," #E32219, #000000, #FFED00, #FFFFFF "
Borussia Mönchengladbach,Germany," #000000, #FFFFFF "
SC Freiburg,Germany," #000000, #FD1220, #FFFFFF "
1. FC Union Berlin,Germany," #FDDC02, #FFFFFF , #EB1923, #000000"
Bayer 04 Leverkusen,Germany," #000000, #F3E500, #FFFFFF , #E32221"
Arminia Bielefeld,Germany," #000000, #FFFFFF , #004E95"
Eintracht Frankfurt,Germany," #FFFFFF , #E1000F , #000000"
