team_name,country_name,colours
Sassuolo Colors,Italy,"#000000,#00a752,#c7c7c7,#ffffff"
SPAL Colors,Italy,"#ffffff,#3697c4,#000000,#c7a76c"
Parma Colors,Italy,"#ffffff,#1b4094,#ffd200"
Torino Colors,Italy,"#eeb111,#ffffff,#8a1e03,#5e91cc"
Sampdoria Colors,Italy,"#000000,#c21718,#ffffff,#1b5497"
ChievoVerona,Italy,"#0068b0,#ffe72c"
Udinese Colors,Italy,"#000000,#8b7d37,#ffffff,#7f7f7f"
Napoli,Italy,"#12A0D7 ,#003C82 "
Lecce Colors,Italy,"#ed1b23,#006086,#d1b48f,#fff200"
Lazio Colors,Italy,"#15366f,#ffffff,#d7a819,#87d8f7"
Inter Milan,Italy,"#000000,#010E80"
Hellas Verona Colors,Italy,"#f6c245,#005395,#c49e46,#ffffff,#ffe74a,#221f20"
Empoli FC,Italy,"#00579c,#ffffff"
Juventus FC,Italy,"#FFFFFF,#000000"
Genoa Colors,Italy,"#ffd400,#ffffff,#05232f,#ad1919"
Cagliari Calcio S.P.A.,Italy,"#002350,#ffffff,#ad002a"
Brescia Colors,Italy,"#cca738,#ffffff,#005ca8"
Fiorentina,Italy,"#FFFFFF,#482E92,#A29160,#EC1C23"
Bologna FC,Italy,"#ffffff,#1a2f48,#a21c26,#ececec"
Atalanta,Italy,"#000000,#1e71b8"
A.S. Roma,Italy,"#F0BC42,#8E1F2F"
A.C. Milan,Italy,"#000000,#FB090B"
